FID,RowID_,stratum,lcode,sdate,utm_e,utm_n,snag,NEAR_FID,NEAR_DIST
1888,81636,BWC-S,F307A.RS,8/5/2013 0:00:00,722650,4438999,1,23824,21.004373138199998
1889,81708,MCB-U,A22A.RS,8/16/2011 0:00:00,715900,4431350,0,22191,77.597356341500003
1890,81772,BWC-S,F61A.RS,7/18/2016 0:00:00,759500,4482550,0,24049,140.527208304999990
1891,81788,BWC-S,D15.RS,9/14/2016 0:00:00,733920,4310635,0,1698,0.994856879887000
1892,81789,BWC-S,F353A.R,10/27/2006 0:00:00,746050,4459100,1,24876,16.262521926500000
1893,81802,BWC-S,F63A.RS,8/12/2013 0:00:00,759850,4482000,0,22422,100.059630529000000
1894,81851,BWC-S,F63A.RS,7/21/1994 0:00:00,737000,4445600,1,23041,19.555443770600000
1895,81897,BWC-S,D4.RS,6/17/1998 0:00:00,757500,4476600,0,24908,6.827458875700000
1896,81898,SCB,D5.RS,8/31/1998 0:00:00,820395,4114690,0,4731,81.888720149799994
1897,81899,SCB,D12.RS,10/17/2007 0:00:00,733820,4312235,1,1897,139.910075863999990
1898,81924,BWC-S,F8A.RS,8/25/2004 0:00:00,740070,4309085,1,2554,1.938261300350000
1899,81968,BWC-S,F257A.RS,8/9/2005 0:00:00,714500,4430250,1,26470,5.530311427990000
1900,82010,SCB,C169A.RS,8/28/1998 0:00:00,820495,4113640,1,5801,4.226534625970000
1901,82082,MCB-U,D1.RS,10/24/2007 0:00:00,702370,4312985,0,1902,36.345237009100003
1902,82092,BWC-S,D16.RS,6/26/1998 0:00:00,737670,4309485,1,1690,16.745704672799999
1903,82129,SCB,D10.RS,8/14/2009 0:00:00,816795,4138990,1,5601,47.129838825299998
1904,82154,BWC-S,D14.RS,8/4/2000 0:00:00,775650,4493850,0,24091,6.181940257290000
1905,82192,SCB,I113.0T,7/13/1993 0:00:00,743494,4454903,1,23085,14.125612611799999
1906,82204,SCB,D13.RS,10/13/2004 0:00:00,738450,4448750,0,22658,21.706185269100001
1907,82248,TRI,HD00.9M,7/17/2008 0:00:00,808024,4127458,1,5847,35.484466631899998
1908,82259,MCB-U,D3.RS,10/4/2005 0:00:00,731620,4311535,1,1703,40.365800000699998
1909,82300,SCB,D19.RS,10/17/2008 0:00:00,739500,4449550,1,23079,9.094194714650000
1910,82351,BWC-S,F289A.RS,10/12/2001 0:00:00,712750,4428200,1,26470,11.745506065000001
1911,82387,SCB,I113.0Tb,9/7/2017 0:00:00,743494,4454903,1,23085,14.125612611799999
1912,82411,IMP-S,D23.RS,6/20/2000 0:00:00,744270,4306035,0,1949,32.695026992800003
1913,82413,MCB-U,D14.RS,8/17/2000 0:00:00,720020,4314935,0,1936,53.399678262999998
1914,82421,SCB,D12.RS,8/3/2016 0:00:00,707720,4305985,0,2890,152.845899769000000
1915,82447,TRI,BM00.7S,8/18/2014 0:00:00,808309,4164557,1,5957,0.000000000000000
1916,82465,BWC-S,D18.RS,9/12/2012 0:00:00,733020,4310835,0,1696,0.000000000000000
1917,82466,SCB,D14.RS,7/1/2010 0:00:00,722550,4440650,1,26680,22.450844927399999
1918,82474,MCB-U,D2.RS,6/16/2011 0:00:00,812295,4151740,1,7553,88.465428914300006
1919,82481,BWC-S,F410A.RS,8/16/2001 0:00:00,745250,4457500,0,24874,8.476546451420001
1920,82672,MCB-U,D6.RS,6/17/2008 0:00:00,746470,4306685,1,2427,22.725851765600002
1921,82682,IMP-S,H12A.RS,6/27/1997 0:00:00,744720,4306285,0,1634,38.396436499399996
1922,82724,MCB-U,D3.RS,9/1/2004 0:00:00,822195,4108290,1,5325,15.479386383100000
1923,82831,MCB-U,D7.RS,6/16/1995 0:00:00,709420,4304785,1,1633,40.583779339000003
1924,82837,SCB,D20.RS,8/30/2017 0:00:00,738400,4449000,1,26665,18.640334740600000
1925,82883,SCB,D35.RS,8/11/2008 0:00:00,738550,4449350,0,23073,25.421193567700001
1926,82993,SCB,D7.RS,9/27/2001 0:00:00,818145,4117540,0,5548,30.441185349300000
1927,83041,SCB,D6.RS,7/23/2001 0:00:00,736770,4312435,0,1900,53.550237465400002
1928,83077,MCB-U,D3.RS,9/14/2012 0:00:00,810045,4156390,0,5645,87.887960208999999
1929,83078,SCB,D13.RS,7/7/2011 0:00:00,777450,4494400,1,23241,22.390559252999999
1930,83098,SCB,D16.RS,7/21/2016 0:00:00,822045,4106741,0,7608,89.197817484799998
1931,83119,MCB-U,D7.RS,10/4/2001 0:00:00,719250,4434500,1,25242,21.605209805900000
1932,83138,MCB-U,D13.RS,9/9/1998 0:00:00,758650,4478850,0,24041,38.905323125300001
1933,83159,SCB,D13.RS,6/24/2009 0:00:00,729120,4312835,0,1293,173.445536021000010
1934,83304,MCB-U,D4.RS,8/11/1997 0:00:00,782750,4498800,0,26741,0.000000000000000
1935,83305,BWC-S,F132A.RS,10/13/2011 0:00:00,756700,4476200,0,24012,20.162179104800000
1936,83423,BWC-S,D20.RS,6/19/2013 0:00:00,739770,4309235,1,1690,54.243834403999998
1937,83450,SCB,D8.RS,10/4/2006 0:00:00,809845,4130190,0,7261,185.306988512999990
1938,83452,MCB-U,D16.RS,10/28/1998 0:00:00,712700,4430100,1,22492,42.916894885500000
1939,83465,MCB-U,D5.RS,7/18/2017 0:00:00,813645,4150440,0,8173,43.189309503300002
1940,83479,SCB,D9.RS,9/1/1994 0:00:00,735820,4312835,1,1907,145.027780810000000
1941,83524,SCB,D7.RS,7/1/2008 0:00:00,714900,4430750,1,22496,14.681503072000000
1942,83540,MCB-U,D3.RS,7/13/1993 0:00:00,712525,4426625,1,22471,47.933229248300002
1943,83546,MCB-W,M061.5W,10/25/1994 0:00:00,816656,4144104,0,5908,88.127628179300004
1944,83630,SCB,D8.RS,10/22/2010 0:00:00,819845,4115190,1,5804,18.294439648600001
1945,83660,MCB-U,D5.RS,8/11/2014 0:00:00,752750,4474050,0,24005,21.327890775099998
1946,83696,BWC-S,F13A.RS,10/7/2016 0:00:00,730970,4311885,1,1704,0.000000000000000
1947,83772,MCB-U,D6.RS,8/18/2011 0:00:00,816245,4147240,1,5913,18.941155159000001
1948,83820,BWC-S,F271A.RS,8/4/2004 0:00:00,759500,4481700,0,24441,9.816235609170001
1949,83876,IMP-S,D22.RS,8/22/2005 0:00:00,744520,4306535,1,1634,37.750171516400002
1950,83936,BWC-S,D1.RS,7/25/1996 0:00:00,759600,4481600,1,24441,69.568375913799997
1951,83985,BWC-S,F7A.RS,10/20/1997 0:00:00,737670,4309435,1,1876,46.036386546400003
1952,83994,MCB-U,D9.RS,8/22/1996 0:00:00,763950,4486950,1,24066,16.613565560600001
1953,84015,MCB-U,D4.RS,10/6/2014 0:00:00,815245,4139140,1,5900,0.000000000000000
1954,84034,BWC-S,F315A.RS,8/10/2000 0:00:00,760050,4482100,1,21350,22.642753098099998
1955,84050,MCB-U,D18.RS,6/24/1999 0:00:00,746050,4460650,1,24437,52.502529365100003
1956,84078,SCB,D9.RS,8/24/2016 0:00:00,702720,4312535,1,2149,9.145875360790001
1957,84149,BWC-S,D1.RS,8/10/1995 0:00:00,783700,4498600,0,26741,34.353102783499999
1958,84153,BWC-S,D28.RS,6/26/2009 0:00:00,761150,4484300,1,23179,50.496059167500000
1959,84202,SCB,D26.RS,8/4/1998 0:00:00,741150,4450500,1,22668,16.624911160400000
1960,84266,SCB,I113.0Ta,7/22/2016 0:00:00,743494,4454903,1,23085,14.125612611799999
1961,84314,SCB,I113.0T,8/15/2005 0:00:00,743494,4454903,1,23085,14.125612611799999
1962,84321,MCB-U,D6.RS,8/8/2008 0:00:00,744520,4307135,0,2554,282.156346355999970
1963,84437,BWC-S,D1.RS,10/19/1998 0:00:00,783600,4498300,0,26741,57.577070159000002
1964,84480,MCB-U,M070.2,11/5/1993 0:00:00,809550,4155709,1,5942,35.707353797099998
1965,84625,BWC-S,F156A.RS,10/14/2011 0:00:00,749600,4466200,0,23115,18.686444314999999
1966,84709,SCB,D12.RS,10/28/2009 0:00:00,822845,4105340,1,5750,71.199161728400000
1967,84823,MCB-U,D19.RS,8/17/2001 0:00:00,745870,4306885,0,2427,169.028126073000010
1968,84860,MCB-W,M235.0W,10/18/2005 0:00:00,703215,4309782,1,1510,38.187890142100002
1969,84917,SCB,81035.12945,7/12/1996 0:00:00,810345,4129440,1,7353,114.276325904000000
1970,84938,BWC-S,F198A.RS,10/24/1995 0:00:00,719400,4433350,0,26724,26.093751182599998
1971,85002,IMP-S,D21.RS,8/25/1998 0:00:00,744170,4306735,0,2554,54.125888577200001
1972,85056,IMP-S,D22.RS,9/2/2014 0:00:00,745570,4306035,1,2013,43.407796288199997
1973,85101,SCB,D20.RS,10/15/2014 0:00:00,742250,4452750,0,22679,30.035706707900001
1974,85142,SCB,D5.RS,9/2/2004 0:00:00,809095,4131590,0,5864,43.988799778000001
1975,85143,SCB,D5.RS,10/26/2000 0:00:00,701920,4309935,0,1724,19.096299825300001
1976,85221,MCB-U,D8.RS,9/12/2014 0:00:00,818445,4114340,0,7620,15.064413216100000
