FID,RowID_,stratum,lcode,sdate,utm_e,utm_n,snag,NEAR_FID,NEAR_DIST
0,1,SCB,D25.RS,6/17/1999 0:00:00,750250,4467650,1,10690,19.119274601800001
1,25,SCB,D16.RS,8/4/2016 0:00:00,743800,4454550,1,10647,33.460008255299996
2,48,MCB-U,D4.RS,9/5/2001 0:00:00,816445,4119090,0,1938,0.000000000000000
3,156,SCB,D15.RS,9/17/2002 0:00:00,743600,4454000,1,10644,18.830525058199999
4,170,SCB,82275.10565,10/19/1995 0:00:00,822745,4105640,1,2138,90.931680792700007
5,218,BWC-S,F53A.RS,10/26/2011 0:00:00,759450,4482250,0,12245,38.871328066799997
6,299,BWC-S,F233A.RS,9/11/1998 0:00:00,745700,4457900,0,10667,329.315595743000020
7,378,MCB-U,D7.RS,9/22/2015 0:00:00,745920,4307035,0,945,221.227824865999990
8,438,BWC-S,F380A.RS,9/4/2012 0:00:00,712750,4428750,1,10457,94.477548929700006
9,456,BWC-S,F30A.RS,10/24/2013 0:00:00,781050,4493900,0,11196,11.249298166999999
10,463,SCB,C106A.RS,10/15/1999 0:00:00,820791,4113718,1,1358,37.661056241099999
11,573,SCB,D22.RS,7/6/1998 0:00:00,743550,4455500,1,11052,8.350611049219999
12,598,SCB,D34.RS,8/12/2005 0:00:00,738450,4448800,1,10619,25.359575860200000
13,616,BWC-S,F365A.RS,8/3/2009 0:00:00,781650,4494300,0,11200,20.419896988900000
14,649,MCB-U,M070.2,10/29/1993 0:00:00,809550,4155709,1,2330,35.707353797099998
15,719,MCB-W,M074.9E,8/30/1996 0:00:00,807535,4162651,1,2339,36.164898159499998
16,754,SCB,D15.RS,8/31/2010 0:00:00,727170,4314185,1,569,41.987869091699999
17,764,SCB,D11.RS,9/30/2003 0:00:00,743650,4454750,1,11046,18.992722074300001
18,820,TRI,BM00.7S,6/19/2000 0:00:00,808309,4164557,0,2345,0.000000000000000
19,903,BWC-S,F54A.RS,8/17/2012 0:00:00,759550,4482100,0,10383,107.037687546000000
20,969,SCB,C33A.RS,10/30/2001 0:00:00,704870,4307385,1,498,17.575060317999998
21,1027,MCB-U,D2.RS,9/13/2012 0:00:00,809995,4156590,0,1829,90.964998437199995
22,1028,MCB-U,D32.RS,9/26/2007 0:00:00,747400,4462000,0,10669,43.453576704299998
23,1060,MCB-U,D7.RS,10/26/2017 0:00:00,706320,4306635,0,283,58.319418013400004
24,1087,BWC-S,F277A.RS,10/20/2004 0:00:00,759550,4482200,0,12245,52.981635679400000
25,1123,BWC-S,D17.RS,9/30/2013 0:00:00,736320,4310685,0,535,15.496127201900000
26,1124,MCB-U,D32.RS,8/4/2000 0:00:00,784600,4502100,0,12800,64.877485742800005
27,1140,BWC-S,D24.RS,6/23/2003 0:00:00,721950,4437100,0,10028,6.585300000380000
28,1141,BWC-S,D22.RS,6/30/2008 0:00:00,714900,4430500,1,10885,32.850626214099997
29,1165,MCB-U,D3.RS,9/1/2017 0:00:00,816045,4146140,0,2302,69.524135681199994
30,1178,MCB-U,D9.RS,9/24/2013 0:00:00,738250,4449349,0,10219,62.477375296399998
31,1252,BWC-S,D32.RS,9/26/1996 0:00:00,746000,4458300,1,10667,365.823240107999990
32,1303,IMP-S,D23.RS,10/17/2008 0:00:00,743970,4306635,1,70,159.994051748000000
33,1336,SCB,81775.1182,8/16/1996 0:00:00,817745,4118190,NA,1742,73.287526138999993
34,1337,SCB,C90A.RS,7/21/1994 0:00:00,820045,4115490,1,1731,6.227135597220000
35,1376,SCB,D11.RS,9/17/2004 0:00:00,734570,4311985,1,547,41.570294214400000
