RowID,stratum,lcode,sdate,utm_e,utm_n,snag
151088,MCB-W,M033.5W,10/30/2001,288310,4107105,0
151448,MCB-W,M042.8E,9/15/2008,281705,4119748,0
151450,MCB-W,M042.8E,9/14/2007,281705,4119748,0
152180,TWZ,I157.8Va,9/23/2008,277614,4500738,1
152771,MCB-W,M070.3W,8/4/2010,279028,4153074,0
153992,TWZ,I157.8V,10/22/2001,277614,4500738,0
154089,MCB-W,M065.9E,9/3/2015,283611,4147322,0
154465,MCB-W,M069.8E,9/13/2011,280049,4151901,0
155568,MCB-U,D6.RS,10/26/2015,281474,4135347,0
155758,MCB-W,M044.4W,6/15/2003,281126,4122599,0
155976,TRI,HD00.9M,8/10/2000,275800,4124800,1
157739,MCB-W,M032.2E,8/29/2012,288833,4105114,0
157904,TWZ,I157.8Vb,7/24/2015,277614,4500738,1
158729,MCB-W,M060.7E,7/31/2015,285922,4139423,0
158730,MCB-W,M071.4W,9/13/2011,278733,4154607,0
158762,MCB-W,M031.8E,9/30/2013,288608,4104652,0
159603,TRI,HD00.9M,10/27/1994,275800,4124800,1
160156,SCB,C127A.RS,9/19/2002,278452,4126642,0
160467,TWZ,I157.8V,8/3/2007,277614,4500738,0
162334,MCB-U,D2.RS,6/28/2002,284447,4144036,1
163156,MCB-U,80840.15835,7/24/1995,278109,4155539,1
164079,TWZ,I157.8V,9/2/2004,277614,4500738,0
164164,MCB-W,M052.3E,8/18/2003,277529,4131605,0
164922,TRI,HD00.9M,8/28/1998,275800,4124800,1
165788,SCB,C134A.RS,9/27/2002,287700,4110069,0
166057,TWZ,I157.8V,8/11/1998,277614,4500738,0
166383,MCB-W,M040.7E,6/26/2012,282728,4117250,0
166900,MCB-W,M071.3E,7/15/2010,279416,4154144,0
167795,TRI,HD00.9M,9/22/1995,275800,4124800,1
169761,MCB-W,M034.1W,8/16/2013,287920,4108241,0
170421,TWZ,I157.8V,7/13/2001,277614,4500738,0
170811,MCB-W,M037.6W,10/29/2010,284479,4112424,0
170986,TRI,HD00.9M,9/26/1996,275800,4124800,1
171713,MCB-W,M056.4W,8/26/2016,282290,4135346,1
171829,TWZ,I157.8V,10/20/1994,277614,4500738,0
172039,MCB-W,M035.5E,7/30/2007,287030,4110149,0
172288,MCB-W,M043.6W,8/4/2010,280766,4121261,0
173289,SCB,D12.RS,8/6/2015,278115,4126624,1
173737,TWZ,I157.8V,7/27/1995,277614,4500738,0
174030,MCB-W,M041.4E,7/22/2004,282284,4118002,0
174397,SCB,D7.RS,7/2/2002,286307,4113220,0
174456,TRI,HD00.9M,8/24/1999,275800,4124800,1
174638,MCB-W,M070.6E,9/14/2012,279648,4153243,0
175666,SCB,D14.RS,8/7/2015,284745,4115190,0
176055,TWZ,I157.8Vb,9/6/2012,277614,4500738,0
176535,MCB-W,M070.7W,10/24/2011,278933,4153688,0
178238,MCB-W,M071.3W,7/19/2016,278775,4154444,0
179411,MCB-W,M064.1W,8/30/2013,284292,4144551,0
179683,MCB-W,M043.6W,10/23/2008,280766,4121261,0
180387,SCB,C135A.RS,9/27/2002,288339,4103601,1
180688,MCB-W,M066.3E,10/2/2015,283155,4147946,0
181551,MCB-U,D6.RS,8/17/2015,282604,4116465,0
181610,MCB-W,M062.5E,9/11/2014,285621,4142355,0
181770,TWZ,I157.8V,7/27/1993,277614,4500738,0
182106,SCB,C73A.RS,8/16/2002,287706,4110083,0
182272,TWZ,I157.8V,8/15/2005,277614,4500738,0
183982,TRI,HD00.9M,6/27/2002,275800,4124800,1
185263,TWZ,I157.8V,7/27/1994,277614,4500738,0
185538,MCB-W,M042.5E,6/20/2012,281908,4118888,0
185875,MCB-W,M061.3E,9/1/2017,286082,4140424,0
186231,MCB-W,M069.9W,10/18/2013,279227,4152381,0
187029,TWZ,I157.8V,9/23/1999,277614,4500738,0
187185,TRI,HD00.9M,10/20/1999,275800,4124800,1
188249,TWZ,I157.8V,8/11/1997,277614,4500738,0
190164,SCB,D11.RS,10/16/2001,277533,4164200,0
190541,TWZ,I157.8V,10/10/2003,277614,4500738,0
190574,MCB-W,M075.5W,6/15/2003,276915,4161033,0
190681,MCB-U,D8.RS,7/23/2015,287507,4109052,1
192627,TWZ,I157.8V,7/16/2007,277614,4500738,0
193145,MCB-W,M060.6W,10/30/2003,285304,4139392,0
193837,TRI,HD00.9M,7/1/1999,275800,4124800,1
195425,TRI,HD00.9M,7/19/1996,275800,4124800,1
195436,SCB,D15.RS,7/21/2015,285295,4114545,1
195589,TRI,HD00.9M,9/15/1994,275800,4124800,1
196242,MCB-U,D4.RS,7/28/2015,281988,4123609,1
197578,TWZ,I157.8V,9/23/1997,277614,4500738,0
198478,TWZ,I157.8Vb,10/28/2016,277614,4500738,0
199187,SCB,C79A.RS,9/27/2002,288545,4103242,0
199266,MCB-W,M034.8W,9/16/2003,287590,4108970,0
199793,MCB-W,M037.8W,8/28/2015,284295,4112575,0
200182,TWZ,I157.8V,9/14/1994,277614,4500738,0
200379,MCB-W,M044.5W,9/26/2002,281311,4123464,0
200551,SCB,C167A.RS,10/30/2001,287417,4111136,0
200742,TWZ,I157.8Vb,7/18/2016,277614,4500738,0
200902,MCB-U,D5.RS,8/17/2015,282169,4119050,1
201243,MCB-W,M069.5W,10/25/2002,279466,4151746,0
201286,TWZ,I157.8Vb,8/21/2009,277614,4500738,0
201542,TWZ,I157.8V,6/16/1995,277614,4500738,1
202549,SCB,D10.RS,10/16/2001,277997,4165849,0
205124,TWZ,I157.8V,6/20/2003,277614,4500738,0
205958,TWZ,I157.8V,10/24/2002,277614,4500738,0
206997,MCB-W,M066.0W,8/21/2009,282936,4147183,1
207014,MCB-W,M072.7E,10/14/2014,278268,4156293,0
207722,MCB-W,M041.6W,7/28/2014,281651,4118000,0
207745,TWZ,I157.8V,6/24/1993,277614,4500738,0
208968,MCB-W,M032.0E,9/16/2003,288764,4105007,0
210537,MCB-W,M038.2W,10/19/2017,283976,4113260,0
210718,TWZ,I157.8V,7/10/1998,277614,4500738,0
210841,MCB-W,M071.0W,10/28/2014,278824,4154140,0
211020,MCB-W,M034.2W,10/30/2001,288038,4108240,0
211292,TWZ,I157.8V,10/27/1997,277614,4500738,0
212247,MCB-W,M071.0E,7/31/2013,279519,4153662,0
212655,TRI,HD00.9M,6/15/2000,275800,4124800,0
214564,MCB-W,M042.1E,10/29/2001,282150,4119302,0
215149,MCB-W,M075.5E,7/15/2010,277548,4160955,0
215150,TWZ,I157.8Va,9/26/2014,277614,4500738,0
215783,MCB-W,M034.1W,9/12/2008,287921,4108242,0
216426,MCB-W,M077.9E,10/27/2016,278262,4164235,0
216925,TRI,HD00.9M,7/3/2001,275800,4124800,1
217467,TWZ,I157.8V,9/7/1993,277614,4500738,1
217759,TWZ,I157.8V,10/30/1996,277614,4500738,0
217875,SCB,80725.16685,7/24/1995,277570,4164355,0
218290,TWZ,I157.8V,9/17/2001,277614,4500738,1
219294,MCB-W,M071.2W,10/28/2014,278815,4154237,0
219503,SCB,D16.RS,8/10/2015,287369,4110211,0
220138,SCB,D12.RS,7/10/2015,277901,4126893,1
220160,TRI,HD00.9M,10/2/2000,275800,4124800,1
220363,SCB,D13.RS,7/28/2015,278302,4127057,1
220434,MCB-W,M066.3E,8/22/2014,283155,4147946,0
220553,MCB-W,M055.8W,10/30/2012,281363,4135325,0
221087,TRI,BM00.7S,7/24/1995,278459,4161806,1
221727,TWZ,I157.8V,8/1/2005,277614,4500738,0
221894,TRI,HD00.9,11/11/1993,275800,4124800,1
222034,MCB-U,D1.RS,9/3/2015,277531,4159145,0
222484,MCB-W,M064.9W,9/6/2002,283895,4145671,0
222512,MCB-W,M063.4W,9/11/2009,284775,4143472,0
222906,MCB-W,M034.1W,9/14/2007,287921,4108242,0
223207,MCB-W,M073.1W,8/18/2003,277284,4157051,0
224624,MCB-W,M056.2W,8/26/2016,281936,4135320,0
224625,MCB-W,M041.7W,9/13/2012,281532,4118265,0
225104,SCB,D11.RS,8/6/2015,277792,4127073,1
225214,MCB-W,M043.6W,8/18/2003,280766,4121261,0
225377,TWZ,I157.8V,7/21/2000,277614,4500738,1
226636,MCB-W,M035.2E,10/19/2009,287300,4110001,0
228143,SCB,D6.RS,7/2/2002,285849,4113378,1
