"fishdata_rownum","stratum","lcode","sdate","snag","river_mile","wingdyke","riprap","barcode","summary","zone15e","zone15n","utmzone","uniq_id","pool","perimeter","max_depth","avg_depth","tot_vol","shoreline_density_index","pct_terr","pct_prm_wetf","near_terr_dist","near_terr_class_7","near_terr_name","near_forest_dist","year","upperlower"
45878,"SCB","D8.RA","8/28/1998 0:00:00",0,NA,0,0,15002524,2,810845,4129140,15,"OR2_SC_8","OR2",12576.3721332,22.23,2.46940248406,2206905,2.40482568889,83.9830061542,64.1471084297,162.163683444,"Fo","Forest",162.163683444,"1998","lower"
45901,"IMP-S","D23.RS","8/4/2010 0:00:00",1,NA,0,1,14005849,3,744520,4305935,15,"P26_CFL_57","P26",8239.71795592,7.69,2.73122884393,4927095,1.72442044131,80.1772860784,19.632795323,55.459352497,"GrFb","Grass/forbs",77.6889574983,"2010","lower"
45948,"BWC-S","D36.RS","9/9/2003 0:00:00",1,NA,0,0,16007285,5,712700,4428450,15,"LAG_CFL_43","LAG",20587.2194604,2.72,0.702480565371,510651,6.28967701148,99.6446409155,68.6270267905,32.7315608216,"GrFb","Grass/forbs",52.8330126653,"2003","lower"
46198,"BWC-S","F169A.RS","8/14/2007 0:00:00",1,NA,0,0,16008914,5,722700,4439050,15,"LAG_CFL_63","LAG",49283.0040847,2.83,0.546327174343,1004920,8.42281514579,99.4938550356,82.7869119891,18.6527977561,"Fo","Forest",91.0370683576,"2007","lower"
46242,"BWC-S","F357A.RS","10/4/2007 0:00:00",1,NA,0,0,16008997,5,745700,4458450,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.0612091269,"Ag","Agriculture",31.0612091269,"2007","lower"
46397,"BWC-S","D35.RS","6/30/2011 0:00:00",0,NA,0,0,16010273,2,713850,4430000,15,"LAG_CFL_43","LAG",20587.2194604,2.72,0.702480565371,510651,6.28967701148,99.6446409155,68.6270267905,36.1764106221,"Fo","Forest",36.1764106221,"2011","lower"
46398,"SCB","D12.RS","10/12/2005 0:00:00",0,NA,0,0,15005767,5,810995,4128890,15,"OR2_SC_8","OR2",12576.3721332,22.23,2.46940248406,2206905,2.40482568889,83.9830061542,64.1471084297,233.087107706,"Fo","Forest",233.087107706,"2005","lower"
46418,"MCB-U","D11.RS","8/22/1996 0:00:00",1,NA,0,0,16002093,5,764050,4486450,15,"LAG_USCB_2","LAG",253065.268774,8.51,2.67531250924,22619633.5,23.1267586639,48.5853287951,26.9917054667,38.4646871203,"Dv","Developed",38.4646871203,"1996","lower"
46434,"BWC-S","D34.RS","9/29/2000 0:00:00",0,NA,0,0,16005831,2,729200,4444200,15,"LAG_CFL_60","LAG",44338.6783753,1.3,0.5775,2755,5.88432106556,99.7955311053,59.2813869458,13.2524552733,"Fo","Forest",85.8665779838,"2000","lower"
46436,"SCB","D21.RS","8/30/2012 0:00:00",0,NA,0,0,16010796,5,715850,4431100,15,"LAG_SC_8","LAG",2908.85564422,4.1,2.05066291432,245925.75,2.23152016465,79.0025731901,70.46374689,27.3220238288,"Fo","Forest",39.6893056753,"2012","lower"
46495,"SCB","D8.RS","6/15/2003 0:00:00",0,NA,0,0,15005131,2,821945,4106890,15,"OR2_SCB_76","OR2",5878.35917388,20.29,5.79388090615,2237886.5,2.3249565453,43.4260975485,35.0541090957,116.231843613,"Fo","Forest",116.231843613,"2003","lower"
46534,"MCB-W","M056.6E","10/15/1996 0:00:00",0,NA,1,0,15001587,5,814235,4137897,15,"OR2_SCB_87","OR2",15010.7081328,20.84,6.23087823658,9872359.25,3.16319716197,47.7291755667,47.7291755667,75.8550721698,"Fo","Forest",75.8550721698,"1996","lower"
46565,"SCB","D9.RS","6/18/1998 0:00:00",1,NA,0,0,14001931,5,729770,4312635,15,"P26_SC_8","P26",6683.89815382,16.37,5.02362750477,4807234.75,1.92371638205,80.3800837092,45.7525729591,152.90318989,"Fo","Forest",152.90318989,"1998","lower"
