"fishdata_rownum","stratum","lcode","sdate","snag","river_mile","wingdyke","riprap","barcode","summary","zone15e","zone15n","utmzone","uniq_id","pool","perimeter","max_depth","avg_depth","tot_vol","shoreline_density_index","pct_terr","pct_prm_wetf","near_terr_dist","near_terr_class_7","near_terr_name","near_forest_dist","year","upperlower"
285569,"BWC-S","D29.RS","10/4/2007 0:00:00",0,NA,0,0,16008994,2,745550,4458350,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9643869726,"Fo","Forest",31.2167895765,"2007","lower"
285667,"MCB-U","D2.RS","8/28/2012 0:00:00",0,NA,0,0,16010827,5,776750,4494000,15,"LAG_USCB_2","LAG",253065.268774,8.51,2.67531250924,22619633.5,23.1267586639,48.5853287951,26.9917054667,34.7807681016,"Fo","Forest",60.5844879312,"2012","lower"
285801,"MCB-U","D12.RS","6/19/2014 0:00:00",0,NA,0,0,16011641,5,711200,4425000,15,"LAG_USCB_1","LAG",252888.63427,23.35,2.54889741019,16268847.5,25.8882924173,49.4565711524,29.1405058451,42.5758567117,"Fo","Forest",42.5758567117,"2014","lower"
285811,"SCB","D34.RS","8/3/2000 0:00:00",1,NA,0,0,16005553,5,739700,4449650,15,"LAG_SC_10","LAG",23861.313951,4.75,1.76243083155,1152982.25,7.18856045782,98.236282844,93.3459896058,37.0487282015,"Fo","Forest",37.0487282015,"2000","lower"
285862,"SCB","D14.RS","8/3/2004 0:00:00",1,NA,0,0,16007762,5,743500,4453950,15,"LAG_SC_10","LAG",23861.313951,4.75,1.76243083155,1152982.25,7.18856045782,98.236282844,93.3459896058,12.400587936,"Ag","Agriculture",12.400587936,"2004","lower"
286011,"SCB","D14.RS","9/3/2004 0:00:00",1,NA,0,0,14004343,5,716720,4309635,15,"P26_SC_7","P26",23945.6146994,15.92,4.3569686113,16295934,3.45859917963,87.0830153348,64.2612174203,96.0900100514,"Fo","Forest",96.0900100514,"2004","lower"
286053,"SCB","D17.RS","8/7/2009 0:00:00",0,NA,0,1,14005569,5,737120,4312435,15,"P26_TSC_20","P26",8693.52157254,5.8,2.02923622754,1694412.25,2.68287608321,80.6367096935,45.8639443303,27.0682282835,"Ow","Open water",230.470453644,"2009","lower"
286094,"SCB","D11.RS","8/5/2015 0:00:00",0,NA,0,0,14007390,5,734670,4312335,15,"P26_SC_5","P26",5565.62978215,8.73,3.62538919187,4570256.25,1.39759196572,53.3426886839,27.5551567693,338.143509485,"Ow","Open water",354.956557544,"2015","lower"
286181,"MCB-U","D4.RS","8/19/2009 0:00:00",1,NA,0,0,16009535,5,745300,4458050,15,"LAG_USCB_2","LAG",253065.268774,8.51,2.67531250924,22619633.5,23.1267586639,48.5853287951,26.9917054667,39.1897534912,"Fo","Forest",49.2805760989,"2009","lower"
286190,"MCB-W","M225.1W","9/5/2017 0:00:00",0,NA,1,1,14008114,5,715436,4308059,15,"P26_TSC_16","P26",5224.29922397,11.52,2.59405477622,1067907.5,2.25171540268,79.7316656911,70.242449096,76.1263270144,"Fo","Forest",76.1263270144,"2017","lower"
286210,"MCB-W","M225.1W","8/18/2000 0:00:00",0,NA,1,0,14003059,6,715436,4308059,15,"P26_TSC_16","P26",5224.29922397,11.52,2.59405477622,1067907.5,2.25171540268,79.7316656911,70.242449096,76.1263270144,"Fo","Forest",76.1263270144,"2000","lower"
286227,"BWC-S","D23.RS","9/9/2003 0:00:00",1,NA,0,0,16007280,5,720100,4437250,15,"LAG_CFL_37","LAG",33779.3099013,4.97,0.409170259923,732143,5.56034219799,99.3586624359,80.6944831746,79.241806724,"Fo","Forest",79.241806724,"2003","lower"
286403,"SCB","D36.RS","8/5/2005 0:00:00",0,NA,0,0,16008148,5,749450,4466550,15,"LAG_SC_6","LAG",5264.07474706,3.88,1.76619311876,437618.5,2.70846598912,87.5246783835,51.5937906641,73.6951366254,"Fo","Forest",73.6951366254,"2005","lower"
286417,"SCB","D13.RS","6/27/2014 0:00:00",1,NA,0,0,15008189,5,811395,4128840,15,"OR2_SC_8","OR2",12576.3721332,22.23,2.46940248406,2206905,2.40482568889,83.9830061542,64.1471084297,180.632528934,"Fo","Forest",180.632528934,"2014","lower"
286431,"BWC-S","D13.RS","10/24/1994 0:00:00",0,NA,0,0,16001004,2,783200,4498450,15,"LAG_CFL_2","LAG",6778.09301374,0.97,0.438571428571,221,3.04731834126,99.2226376582,2.66544248704,24.8347893421,"Fo","Forest",44.4244478149,"1994","lower"
286432,"MCB-U","D1.RS","9/11/2017 0:00:00",0,NA,0,0,14008112,5,701970,4314235,15,"P26_USCB_29","P26",13556.8695202,13.69,5.00229055704,4508064.25,3.73942961848,50.9548510304,13.0515811429,35.7666130463,"Ow","Open water",37.1025700085,"2017","lower"
286583,"SCB","I113.0T","7/6/1994 0:00:00",1,NA,0,0,16000514,5,743494,4454903,15,"LAG_SC_10","LAG",23861.313951,4.75,1.76243083155,1152982.25,7.18856045782,98.236282844,93.3459896058,14.1256126118,"Fo","Forest",14.1256126118,"1994","lower"
