FID,OBJECTID_1,OBJECTID,Perimeter,Area,Acres,Hectares,LCU_C1,LCU_N1,LCU_C2,LCU_N2,COVER_C,COVER_N,HEIGHT_C1,HEIGHT_C2,HEIGHT_N,CLASS_31,CLASS_31_N,CLASS_31_D,CLASS_15_C,CLASS_15_N,CLASS_7_C,CLASS_7_N,HNA_C1,HNA_C2,HNA_N1,HYDRO_C1,HYDRO_C2,HYDRO_N,HYD_REG_C,HYD_REG_N,LAND_WATER,NVCS2_CODE,NVCS2_DESC,Shape_Leng,Shape_Le_1,Shape_Area
33,2505,2505,14587.678926099999000,9566998.140210000800000,1.525194836660000,0.617224452014000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,370.527044726999970,370.527044726999970,6172.244520190000000
34,2506,2506,36535.872038300004000,44542547.082199998000000,7.101084564420000,2.873706967550000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,928.011149784000050,928.011149784000050,28737.069675700001000
35,2507,2507,55621.070690200002000,156647939.903000000000000,24.973207437900001,10.106298490800000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1412.775195530000000,1412.775195530000000,101062.984908000000000
36,2508,2508,15958.219213599999000,15438732.223300001000000,2.461281409950000,0.996045248119000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,405.338768028000000,405.338768028000000,9960.452481129999800
37,2509,2509,17755.359712699999000,16658554.422200000000000,2.655748524100000,1.074743297100000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,450.986136703000000,450.986136703000000,10747.432971000000000
38,2510,2510,93020.755484099995000,20291904.112900000000000,3.234986243890000,1.309152485750000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,2362.727189289999800,2362.727189289999800,13091.524857200000000
39,2511,2511,46884.373603599997000,16636065.701800000000000,2.652163315890000,1.073292414820000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1190.863089539999900,1190.863089539999900,10732.924148200000000
40,2512,2512,17597.271166700000000,18634501.455200002000000,2.970758955580000,1.202223495880000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,446.970687634000000,446.970687634000000,12022.234958700001000
41,2513,2513,23485.974821100001000,18938703.848000001000000,3.019255663960000,1.221849417460000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,596.543760456999960,596.543760456999960,12218.494174800000000
42,2514,2514,62887.970236900001000,11945645.755799999000000,1.904404804960000,0.770685281582000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1597.354444020000100,1597.354444020000100,7706.852815199999900
