FID,Field1,stratum,lcode,sdate,utm_e,utm_n,snag,NEAR_FID,NEAR_DIST
1732,60411,BWC-S,F3.RS,9/22/1999 0:00:00,643270,4845900,1,2134,65.836314327899998
1733,60443,BWC-S,F1.RS,7/2/2012 0:00:00,638670,4858200,1,2562,29.005524804099998
1734,60478,MCB-U,D3.RS,10/27/2003 0:00:00,640920,4845650,1,2854,40.015544313500001
1735,60521,SCB,D12.RS,8/16/1999 0:00:00,537795,4936995,1,135,44.426539849100003
1736,60655,SCB,D12.RS,6/19/2013 0:00:00,639120,4835749,1,2031,43.695215058300001
1737,60674,BWC-S,D8.RS,7/7/2017 0:00:00,719875,4676586,1,4550,11.839118451199999
1738,60747,MCB-W,M756.35W,10/25/2010 0:00:00,582646,4912739,0,822,13.113590072499999
1739,60748,IMP-S,H33A.RS,9/17/2009 0:00:00,642920,4834200,0,2934,237.212841548999990
1740,60775,IMP-S,H22A.RS,10/6/2004 0:00:00,640920,4836150,0,2032,42.709195276899997
1741,60787,BWC-S,F87A.RS,10/27/1994 0:00:00,640470,4839100,1,2276,335.749518441000020
1742,60814,BWC-O,M788.4H,9/3/1991 0:00:00,540524,4935605,NA,1616,47.005980792800003
1743,60827,BWC-S,F20A.RS,9/25/2014 0:00:00,545345,4933295,1,1071,34.529021765000003
1744,60878,MCB-U,D1.RS,10/27/2014 0:00:00,716925,4676386,1,3821,61.816024017700002
1745,60920,MCB-U,D2.RS,9/10/1997 0:00:00,640620,4849300,1,2881,32.540540030800003
1746,60930,BWC-O,M757.7V,10/1/1992 0:00:00,581170,4915344,0,1474,513.368097940999970
1747,60945,BWC-O,D16.RS,9/6/1994 0:00:00,579795,4912195,0,1492,478.971127997999990
1748,60965,MCB-U,M554.8,9/11/1992 0:00:00,714292,4679890,0,3415,48.845153311099999
1749,60994,BWC-S,D7.RS,10/28/2016 0:00:00,713775,4681686,1,3874,2.135416134500000
1750,61058,SCB,D7.RS,10/27/2008 0:00:00,540195,4935995,1,710,14.274090213399999
1751,61088,BWC-S,F6.RS,6/20/2016 0:00:00,642870,4847450,0,2388,26.529149712399999
1752,61119,IMP-S,F11.RS,10/1/1996 0:00:00,735475,4650135,1,4118,31.246281107100000
1753,61123,BWC-S,F2.RS,10/21/2008 0:00:00,643220,4846650,0,2379,87.353209761000002
1754,61149,BWC-S,F5.RS,9/26/2011 0:00:00,580545,4916545,0,320,402.508522278999980
1755,61160,BWC-S,F3.RS,8/28/2013 0:00:00,721275,4674135,1,3800,13.133569490499999
1756,61202,IMP-S,F13.RS,9/11/2013 0:00:00,643270,4835499,1,2583,301.365426915000000
1757,61254,MCB-W,M694.9M,8/15/1990 0:00:00,641034,4848151,0,2168,81.033786866400007
1758,61277,BWC-S,M788.3G,7/1/1991 0:00:00,540524,4935330,NA,1647,75.673052001100004
1759,61321,IMP-S,F12.RS,6/30/1993 0:00:00,738375,4650285,1,3161,10.856841663399999
1760,61346,BWC-S,F2.RS,6/28/2004 0:00:00,643420,4841150,0,2285,226.228273664999990
1761,61360,BWC-S,F5.RS,8/2/2005 0:00:00,579295,4917345,0,510,206.500183668999990
1762,61361,IMP-S,F13.RS,9/21/2004 0:00:00,735625,4650235,1,4118,58.165563320700002
1763,61375,BWC-S,F9.RS,9/7/2011 0:00:00,643470,4840950,0,2285,341.110464773999980
1764,61376,BWC-S,F2.RS,6/24/2013 0:00:00,541445,4935244,0,1646,78.856810744900002
1765,61399,BWC-S,F3.RS,7/17/2001 0:00:00,719175,4676535,0,3380,20.316203311199999
1766,61416,TWZ,M796.9N,8/5/2013 0:00:00,531031,4939824,1,1175,40.806983668400001
1767,61430,BWC-S,M536.9M,8/20/1991 0:00:00,733888,4663573,NA,3621,7.974255174200000
1768,61517,MCB-W,M796.8M,10/8/1991 0:00:00,531445,4939670,NA,1172,20.105409224100001
1769,61577,BWC-S,F2.RS,9/21/2000 0:00:00,578095,4916995,1,489,3.607379560740000
1770,61591,BWC-S,M536.9,6/29/1992 0:00:00,733857,4663547,1,3621,0.000000000000000
1771,61634,BWC-S,F11.RS,6/28/2017 0:00:00,641970,4840650,0,2809,320.031474000000000
1772,61635,BWC-S,F15.RS,10/3/2007 0:00:00,642570,4848300,1,2415,158.144648485999990
1773,61654,BWC-S,F7.RS,6/24/2002 0:00:00,726275,4670685,0,3126,153.437947713999990
1774,61720,BWC-S,F8.RS,7/12/2000 0:00:00,643320,4840700,0,2703,189.502033466999990
1775,61754,BWC-S,D10.RS,8/29/2002 0:00:00,735425,4655235,1,4110,23.485722928500000
1776,61799,SCB,D12.RS,9/8/1998 0:00:00,639220,4835000,1,2031,737.056481002000060
1777,61871,BWC-S,F13A.RS,10/30/1995 0:00:00,718625,4677235,1,3388,105.669209034999990
1778,61877,SCB,D11.RS,6/29/2010 0:00:00,585345,4908845,1,1819,321.128508162999990
1779,61905,MCB-W,M556.1D,8/25/2005 0:00:00,713448,4680913,0,4737,74.787151307499997
1780,61917,SCB,D8.RS,9/14/1993 0:00:00,585645,4908295,0,788,143.195672941000000
1781,61925,SCB,D4.RS,10/11/2010 0:00:00,734875,4667435,1,3266,50.091378232600000
1782,61963,IMP-S,D24.RS,10/2/2013 0:00:00,642070,4827299,0,2585,1424.006926340000100
1783,61986,MCB-W,M699.3F,7/13/2016 0:00:00,638915,4853828,0,1934,159.154892265000000
1784,62011,MCB-U,D17.RS,10/22/2001 0:00:00,639870,4853300,0,2217,29.124696424200000
1785,62064,MCB-U,D5.RS,10/30/2001 0:00:00,579195,4914095,1,426,57.764913350400001
1786,62078,IMP-S,D24.RS,9/8/1998 0:00:00,643320,4835900,0,2033,155.515081965000010
1787,62096,BWC-S,D15.RS,10/21/1993 0:00:00,641770,4840600,0,2809,354.639015539000010
1788,62097,MCB-W,M550.5L,9/12/1991 0:00:00,719815,4675321,NA,4729,155.672491452999990
1789,62153,BWC-S,D15.RS,6/18/2015 0:00:00,642970,4846350,0,2137,128.091306234000000
1790,62176,BWC-S,D13.RS,6/16/2011 0:00:00,737125,4653885,1,3486,84.181903859599998
