FID,Field1,stratum,lcode,sdate,utm_e,utm_n,snag,NEAR_FID,NEAR_DIST
4148,148601,TWZ,M796.9M,8/10/2009 0:00:00,531164,4939769,0,1939,108.158015873000000
4149,148625,BWC-S,F10.RS,7/10/1995 0:00:00,643970,4842700,0,5524,22.191432836800001
4150,148649,BWC-S,M692.7R,9/26/1995 0:00:00,642904,4844961,1,5331,0.833787530085000
4151,148719,IMP-S,D21.RS,6/30/2016 0:00:00,643370,4836250,0,5471,39.217876990500002
4152,148730,MCB-U,D2.RS,7/18/2017 0:00:00,542945,4934145,1,2246,27.001993400800000
4153,148755,SCB,D13.RS,9/19/2017 0:00:00,579045,4915495,1,4124,56.501732109000002
4154,148797,IMP-S,D16.RS,10/24/2011 0:00:00,737325,4651635,0,11370,5.691236076220000
4155,148812,IMP-S,D24.RS,9/17/2009 0:00:00,643170,4827600,1,6132,32.958797251299998
4156,148815,MCB-W,M796.7M,7/30/1997 0:00:00,531610,4939625,0,1939,52.542051957300004
4157,148816,SCB,D16.RS,10/16/2014 0:00:00,584745,4909145,1,466,44.791165681300001
4158,148849,BWC-S,D10.RS,8/22/2007 0:00:00,637120,4857400,1,5998,65.421314985199999
4159,148960,BWC-S,D13.RS,10/7/2003 0:00:00,639170,4849300,0,5100,0.000000000000000
4160,148963,SCB,D5.RS,10/8/1998 0:00:00,726125,4673085,1,13336,36.230157296000002
4161,149014,BWC-S,M690.2A,6/27/1991 0:00:00,639243,4841764,NA,4852,52.616842499500002
4162,149046,BWC-S,D14.RS,8/16/2007 0:00:00,583145,4912545,1,814,10.174034804200000
4163,149115,BWC-S,D11.RS,11/1/1993 0:00:00,639620,4852850,1,5340,14.991419627699999
4164,149126,MCB-U,D1.RS,7/5/1995 0:00:00,713825,4679735,1,10116,42.536980207299997
4165,149157,MCB-U,D4.RS,7/13/1995 0:00:00,584545,4910095,0,1948,28.006818590400002
4166,149166,MCB-W,M543.8S,9/11/2017 0:00:00,729562,4671098,1,9979,58.043331906200002
4167,149183,MCB-U,D4.RS,7/16/2009 0:00:00,734775,4662435,0,10823,44.157291015399998
4168,149237,BWC-S,F43A.RS,8/9/2000 0:00:00,639320,4842250,0,5009,31.833964530799999
4169,149258,BWC-S,D21.RS,10/3/1997 0:00:00,584945,4911445,1,1157,15.778198544900000
4170,149303,IMP-S,D17.RS,10/30/1995 0:00:00,733475,4647685,1,13224,34.822811979000001
4171,149306,SCB,D11.RS,8/29/2016 0:00:00,640970,4842300,0,6817,0.000000000000000
4172,149307,SCB,C30A.RS,9/11/2017 0:00:00,582495,4914395,1,1081,64.971463816400004
4173,149351,MCB-U,D2.RS,6/21/2012 0:00:00,641120,4846550,1,5800,40.596430249500003
4174,149396,BWC-S,F67A.RS,10/15/2003 0:00:00,727275,4669785,1,13327,44.460029461900000
4175,149564,MCB-U,D2.RS,10/14/1993 0:00:00,532295,4939245,1,1945,42.817715839999998
4176,149727,BWC-S,F20A.RS,6/27/1996 0:00:00,577095,4915245,0,4118,17.774635822499999
4177,149749,BWC-S,D16.RS,8/4/1997 0:00:00,641870,4840500,0,4968,0.000000000000000
4178,149789,IMP-O,M525.5,10/6/1992 0:00:00,733749,4645715,1,10812,59.954702861100003
4179,149790,BWC-S,D21.RS,8/16/2016 0:00:00,582345,4913545,0,511,0.000000000000000
4180,149833,BWC-S,F45A.RS,10/3/2017 0:00:00,641020,4841000,0,7771,36.078946378799998
4181,149877,BWC-S,F2.RS,9/19/1995 0:00:00,716575,4679435,1,13169,35.892688900300001
4182,149894,IMP-S,F13.RS,10/3/2002 0:00:00,738575,4649985,1,9431,15.809642759300001
4183,149900,BWC-S,F6.RS,9/19/2012 0:00:00,584295,4911095,0,480,13.665639081200000
4184,149952,IMP-S,F16.RS,9/16/2013 0:00:00,640720,4828749,0,6071,58.595552722100003
4185,149971,BWC-S,F1.RS,10/8/2002 0:00:00,716025,4680385,1,9690,14.636553609800000
4186,149997,BWC-S,F6.RS,9/5/2006 0:00:00,644220,4841450,0,6139,42.814191456000003
4187,150040,TWZ,M796.9N,9/25/2013 0:00:00,531031,4939824,1,2207,31.736012410600001
4188,150053,BWC-S,F35A.RS,9/30/2002 0:00:00,735175,4659935,1,12902,31.151655190800000
4189,150096,IMP-S,F14.RS,9/17/2012 0:00:00,735325,4648435,1,9246,22.378936294199999
4190,150097,BWC-S,M692.7R,10/12/1995 0:00:00,642904,4844961,1,5331,0.833787530085000
4191,150199,IMP-S,H39A.RS,9/28/2015 0:00:00,643420,4828500,0,6132,25.060515131799999
4192,150224,BWC-S,F6.RS,8/5/1993 0:00:00,643137,4842239,1,5498,27.557432064000000
4193,150241,BWC-S,F7.RS,10/11/2001 0:00:00,641870,4845100,0,4871,34.069233940499998
4194,150263,BWC-S,F3.RS,8/7/2006 0:00:00,584895,4910545,1,4635,3.246530498410000
4195,150299,BWC-S,F11.RS,7/5/2012 0:00:00,640870,4838950,0,6772,0.000000000000000
4196,150331,BWC-S,M536.8L,7/3/1991 0:00:00,733596,4663476,NA,9881,16.988365005999999
4197,150344,BWC-S,F8.RS,6/24/2002 0:00:00,726475,4670635,0,11575,50.241185996399999
4198,150352,BWC-S,M753.2V,9/16/1991 0:00:00,584920,4908615,NA,272,146.571512238999990
4199,150362,IMP-S,F12.RS,6/23/2015 0:00:00,733425,4647535,1,10699,3.207361874790000
