FID,RowID_,stratum,lcode,sdate,utm_e,utm_n,snag
149,6686,BWC-S,F155A.RS,8/16/2012 0:00:00,745950,4459200,1
150,6688,BWC-S,D16.RS,10/9/2017 0:00:00,721020,4314335,1
151,6689,IMP-S,D21.RS,7/1/2004 0:00:00,744070,4306735,0
152,6690,SCB,D7.RS,7/12/1999 0:00:00,817445,4140790,1
153,6800,SCB,D10.RS,10/19/1999 0:00:00,807945,4168990,0
154,6801,MCB-U,D8.RS,6/26/2009 0:00:00,739670,4311135,0
155,6831,MCB-U,D1.RS,8/28/2007 0:00:00,722020,4316135,0
156,6892,BWC-S,D19.RS,8/13/2013 0:00:00,737220,4309885,0
157,6929,IMP-S,D22.RS,8/7/1995 0:00:00,745670,4306135,0
158,6971,SCB,I113.0Tb,7/6/2009 0:00:00,743494,4454903,1
159,6999,SCB,C154A.RS,7/1/1999 0:00:00,811045,4129140,1
160,7134,MCB-U,D2.RS,10/21/2010 0:00:00,809195,4133790,1
161,7153,MCB-U,B30A.RS,8/5/2010 0:00:00,746870,4305685,1
162,7196,SCB,D13.RS,9/27/1994 0:00:00,725570,4314585,1
163,7251,SCB,D7.RS,10/20/2005 0:00:00,807845,4168740,0
164,7291,MCB-U,D3.RS,6/20/2014 0:00:00,730870,4313285,0
165,7338,BWC-S,F309A.RS,6/21/2012 0:00:00,722950,4439250,1
166,7468,MCB-U,D3.RS,9/7/2016 0:00:00,766700,4490400,1
167,7553,SCB,I113.0T,7/26/1993 0:00:00,743494,4454903,1
168,7565,MCB-W,M227.3W,7/29/2013 0:00:00,713145,4304994,0
169,7653,BWC-S,D32.RS,6/23/2011 0:00:00,745550,4458400,0
170,7677,BWC-S,D15.RS,9/9/2003 0:00:00,727020,4314035,0
171,7704,MCB-U,D1.RS,9/19/2003 0:00:00,760150,4480200,1
172,7732,SCB,D10.RS,7/17/2002 0:00:00,707120,4306135,0
173,7772,SCB,D23.RS,7/11/2013 0:00:00,714900,4430849,1
174,7872,SCB,D10.RS,6/25/1999 0:00:00,716720,4310635,1
175,7882,BWC-S,F287A.RS,10/24/2002 0:00:00,759450,4481600,0
176,7962,MCB-U,D5.RS,6/21/1996 0:00:00,782750,4499450,1
177,7982,SCB,D11.RS,7/12/2012 0:00:00,809395,4131090,0
178,7983,TRI,BM00.7S,7/2/2007 0:00:00,808309,4164557,1
179,7999,SCB,I113.0T,8/2/1993 0:00:00,743494,4454903,0
180,8030,BWC-S,F311A.RS,8/28/2015 0:00:00,722150,4438200,0
181,8151,MCB-U,D4.RS,7/30/2001 0:00:00,714570,4306935,0
182,8178,BWC-S,D27.RS,7/23/2012 0:00:00,745450,4457650,0
183,8189,BWC-S,E1A.RS,9/7/2000 0:00:00,737920,4309485,0
184,8256,BWC-S,D32.RS,7/20/1998 0:00:00,724200,4440250,0
185,8272,MCB-U,D3.RS,9/18/2013 0:00:00,814045,4150889,0
186,8287,SCB,D13.RS,10/25/2011 0:00:00,766300,4490000,0
187,8288,MCB-U,D34.RS,8/13/2002 0:00:00,716200,4431500,1
188,8317,SCB,D7.RS,10/15/1999 0:00:00,819945,4115540,0
189,8318,SCB,D15.RS,6/21/2016 0:00:00,817545,4118490,0
190,8341,SCB,D17.RS,8/15/2011 0:00:00,743450,4453900,0
191,8366,BWC-S,E3A.RS,9/8/2000 0:00:00,740720,4309285,1
192,8387,SCB,I113.0T,10/6/2006 0:00:00,743494,4454903,1
193,8537,SCB,D22.RS,9/16/2014 0:00:00,738550,4449350,1
194,8548,BWC-S,D25.RS,8/26/2016 0:00:00,758000,4476750,0
195,8549,MCB-U,D8.RS,6/15/1995 0:00:00,746570,4306235,0
196,8584,SCB,C62A.RS,8/20/2013 0:00:00,808995,4131589,1
197,8598,BWC-S,D29.RS,10/16/1997 0:00:00,746750,4460300,0
198,8668,SCB,D13.RS,7/2/2012 0:00:00,762950,4483400,0
199,8669,SCB,D11.RS,9/7/2005 0:00:00,703170,4310935,0
200,8670,SCB,D23.RS,8/23/2017 0:00:00,715100,4430850,1
201,8701,MCB-U,D8.RS,7/17/2012 0:00:00,744720,4307035,1
202,8758,MCB-U,D9.RS,8/8/2005 0:00:00,733250,4448450,0
203,8786,SCB,D8.RS,8/10/2007 0:00:00,750200,4467550,0
204,8812,BWC-S,D16.RS,8/29/2017 0:00:00,727820,4313535,0
205,8813,BWC-S,F258A.RS,8/4/2004 0:00:00,760100,4482450,1
206,8875,BWC-S,D17.RS,10/23/2000 0:00:00,736600,4445550,0
207,8876,MCB-U,B9A.RS,9/11/2014 0:00:00,726770,4314635,1
