RowID,stratum,lcode,sdate,utm_e,utm_n,snag
242632,SCB,D5.RS,8/9/2001,641970,4842350,1
242666,BWC-S,D8.RS,7/8/1996,718875,4677285,1
242691,MCB-U,D21.RS,6/24/2009,532845,4938845,1
242724,MCB-W,M701.4C,8/13/1998,637109,4856480,0
242761,MCB-U,D23.RS,6/24/2004,532395,4938995,1
242784,BWC-S,D16.RS,9/18/2015,641320,4841600,0
242785,MCB-U,D2.RS,8/31/2016,732425,4667535,1
242807,SCB,D11.RS,10/12/2010,582545,4911745,0
242808,SCB,D3.RS,9/24/2008,715575,4678385,0
242893,BWC-S,F53A.RS,10/2/2015,733875,4664735,1
242998,MCB-U,D22.RS,10/19/2006,576995,4915195,1
243019,MCB-U,M700.8C,8/30/1990,637492,4855786,1
243021,MCB-U,D3.RS,11/2/1993,639570,4837800,1
243047,BWC-S,D21.RS,8/4/1997,641020,4840750,0
243071,BWC-S,D18.RS,9/18/2017,575295,4916195,1
243149,BWC-S,D24.RS,8/12/1993,572195,4918645,0
243165,BWC-S,D23.RS,7/26/2011,583395,4909895,1
243175,MCB-U,D1.RS,10/25/2011,713325,4681185,1
243198,BWC-S,D17.RS,9/6/2006,540695,4935195,0
243222,BWC-S,D8.RS,8/19/2002,718925,4676885,1
243281,IMP-S,D14.RS,9/27/2004,733625,4646585,1
243373,MCB-W,M796.7M,8/2/1996,531612,4939621,0
243381,MCB-U,D2.RS,7/15/1994,730975,4668035,0
243411,MCB-U,D4.RS,7/11/2013,734375,4664135,0
243431,MCB-W,M546.1A,10/4/2005,725919,4672315,0
243453,BWC-S,D14.RS,6/20/1997,737275,4656235,0
243454,BWC-S,D23.RS,9/13/2016,585295,4910495,0
243455,BWC-S,D19.RS,6/23/2017,642920,4840400,0
243537,MCB-U,D3.RS,8/17/1998,573345,4916945,0
243544,SCB,D15.RS,10/15/1998,537695,4936945,0
243566,BWC-O,D21.RS,7/3/1996,580695,4914745,1
243573,BWC-S,F41A.RS,9/26/1997,640970,4842700,1
243699,SCB,D9.RS,8/17/2000,532545,4938595,1
243727,SCB,D20.RS,10/22/2001,639470,4854050,1
243775,BWC-S,D20.RS,10/13/2014,640920,4840800,1
243832,MCB-U,D2.RS,10/28/1993,639570,4838250,1
243973,MCB-U,D5.RS,8/20/1999,574445,4917095,1
244052,MCB-W,M544.4U,7/2/2007,728784,4671675,0
244053,MCB-W,M689.1C,7/6/2000,639788,4839327,0
244088,MCB-W,M548.0M,7/24/1995,723532,4673845,0
244106,UXO,D14.RS,7/9/1993,717775,4678185,1
